단어,발음,주요뜻,메모,암기여부,저장날짜
run down,,흘러내리는|따라|낡은|황폐한|이르는,"1)The last owners really let this house run down.
옛 주인들이 이 집을 아주 닳도록 그냥 놔뒀어.


",미암기,2011-01-06 12:36:26
swear off,,맹세하고 끊다|그만둔다고 맹세하다,,미암기,2011-01-05 20:56:35
beef,biːf,쇠고기|강화하다|불만|비프,"1)Quit your beefing and go back to your work.
불평 그만두고 돌아가서 일이나 해.
",미암기,2011-01-05 20:53:04
glimpse,glimps,보다|잠깐보다|훑어보다|관측,"1)I caught a glimpse of her back. [출처: 동아 프라임 한영사전]
그녀의 뒷모습이 흘끗 보였다

have[catch, get] a glimpse of the truth [출처: 동아 프라임 영한사전]
진상을 어렴풋이 알다


",미암기,2011-01-05 20:32:17
askance,əskǽns,곁눈으로|비스듬히|의심쩍은 마음으로,,미암기,2011-01-05 20:28:58
swing around,swíŋəràund,"turn abruptly and face the other way, either physically or metaphorically","1)I swung the car round and drove back down the road.   
The Labour Party has now swung round to supporting Europe.   
You should be able to swing people round to your point of view.
",미암기,2011-01-05 20:11:39
casserole,kǽsəròul,캐서롤|찜냄비 요리|…을 캐서롤로 찌다,,미암기,2011-01-03 23:09:12
knock off,,복제 |가짜|떨어진|물리친|모조품,"1)[[금액을]] 깎다, 할인하다

A: Well I'm really in no mood to buy.
A: 글쎄 전 별로 살 마음이 없는데요.

B: You will be when you see how much we knocked off on this on-e. 
B: 이 물건을 얼마나 싸게 내놓았는지 보면 마음이 생기실 걸요.


",미암기,2010-11-22 12:39:19
a piece of work,,일|곤란한 일|소동,"1)Her husband is a piece of work.
그녀의 남편은 이상한 사람이야. 


",미암기,2010-11-22 12:32:55
get out from under,,…의 아래에서 나오다|영향에서 벗어나다|관계를 끊다,,미암기,2010-11-22 12:28:28
rope,roup,줄|묶다|요령,"1)[속어] [the ~s] 비결, 요령[knack] 
know the ropes 일의 요령을 알고 있다; 세상 일에 통달하다 

You'll need someone to show you the ropes.
여기 사정을 알려줄 사람이 필요할 겁니다.
",미암기,2010-11-22 12:20:23
take charge of,,…의 보호를 떠맡다,,미암기,2010-11-19 12:36:19
knock some sense into a person,,분별 있는 행동을 하도록 남을 설득하다,"1)knock[talk] some sense into a person 
",미암기,2010-11-19 12:30:49
and all,,…등|기타 모두,,미암기,2010-11-14 19:16:47
on edge,,모서리를 아래로 하여|몹시 초조하여|안절부절 못하여,"1)Just being with him put me on edge. [출처: 동아 프라임 한영사전]
나는 그 사람 앞에서 안절부절못했다
",미암기,2010-11-12 16:50:14
hold back,,저지하다|억제하다|비밀로 해두다,"1)hold back tears  눈물을 억제하다
hold back information 정보를 감춰두다 

",미암기,2010-11-12 16:43:28
out of the blue,,느닷없이|뜻밖에|돌연,,미암기,2010-11-12 16:38:22
put away,,치우다|버리다|감옥에 가다|외면하다|정리하다,"1) [구어] [[음식물을]] 먹어치우다 
I want to put away some pizza and ice cream.
피자와 아이스크림을 먹고 싶다. 
",미암기,2010-11-11 12:51:53
fish around for,,~를 찾아 뒤지다. 찾아 돌아다니다,,미암기,2010-11-11 12:41:37
sport,spɔːrt,스포츠|체육|운동|장난,"1)[구어] 자랑삼아 보이다, 뽐내다; [새 모자 등을] 쓰고 몸치장하다 
sport a ring 반지를 자랑삼아 보이다 

",미암기,2010-11-07 00:11:01
at all,,전혀|조금도|조금이라도,"1)도대체
Do you believe it at all?  너는 도대체 그걸 믿니? 

이왕, 적어도
If you do it at all, do it well.  이왕 할 바에야 잘해라. 


",미암기,2010-11-06 09:55:24
as it stands,,현 상태로는|그대로는|가구·장식 등도 포함해서,,미암기,2010-11-06 08:27:27
smart,smaːrt,스마트한|똑똑한|영리한|현명한|멋있는,"1)vi. 괴로워하다. 분개하다.
I still smart when I think of the way she has treated me. 
 그녀가 나에게 대한 행동을 생각하면 아직도 마음이 아파요.
",미암기,2010-11-05 23:40:07
last straw,,참을 수 없게 되는 마지막,"1)I think this is the last straw. 
이제 더 이상 못 참을 거 같아요. 한계에 다다른 거 같아요.
",미암기,2010-11-05 23:36:56
out and out,,철저히|아주|철저한,,미암기,2010-11-05 23:32:58
bridesmaid,braiˈdzmeiˌd,신부 들러리|후원자|조연,,미암기,2010-11-05 23:13:00
chew out,,비난하다|호되게 꾸짖다|형편없이 깎아 내리다,"1)I got chewed out. or I got raked[hauled, dragged] over the coals. [출처: 동아 프라임 한영사전]
나는 호되게 야단맞았다
He really gave me a chewing out. [출처: 동아 프라임 한영사전]
그는 내게 호된 잔소리를 했다


",미암기,2010-11-05 23:09:52
next to nothing,,거저의|거의 제로에 가까운|없는 것이나 다름없는,"1) I got it for next to nothing. 나는 그것을 거의 돈을 주지 않고 구했다.
It cost next to nothing. 그것은 비용이 거의 들지 않았다.


",미암기,2010-11-05 22:56:31
novelty,nάvəlti,새로움|신기함,,미암기,2010-11-05 22:24:36
broach,brouʧ,…에 구멍을 뚫다|꼬챙이|쇠꼬챙이,"1)[이야기를] 끄집어 내다
I'm afraid if I broach the subject, I'll sound jealous.
그 이야기를 꺼내면 질투하는 것처럼 보일까봐 못하겠어요.
",미암기,2010-11-05 22:13:19
pointer,pɔ́intər,가리키는 사람|교편|바늘,"1)구어] 충고, 조언[助言]
Maybe you can give me some pointers.
 그럼 나한테도 좀 가르쳐 줘. 


",미암기,2010-11-04 13:15:16
